hotspot_id,latitude,longitude,accident_count,severity_index,radius_m,risk_level
HS012,22.722819,75.858861,147,2.0272,5540.9,HIGH
HS006,22.569233,88.0,140,1.9857,5811.9,HIGH
HS014,25.591653,85.128742,132,2.1591,5865.4,HIGH
HS002,19.070663,72.868973,131,2.0916,5816.8,HIGH
HS013,15.331148,75.132062,130,2.1462,5817.3,HIGH
HS008,23.018199,72.567661,127,2.0236,5976.3,HIGH
HS015,27.16691,78.002847,126,2.1587,5372.3,HIGH
HS003,12.970328,77.587162,123,1.9593,5969.3,HIGH
HS011,26.911996,75.788892,112,2.0982,6147.3,HIGH
HS004,17.381126,78.486255,108,2.2315,5352.6,HIGH
HS005,13.082,80.270649,106,1.9811,5100.1,HIGH
HS009,18.515655,73.858605,89,2.0562,5281.3,HIGH
HS001,28.63088,77.216691,85,2.2118,5381.7,HIGH
HS007,26.847961,80.934308,83,2.2169,6349.2,HIGH
HS010,21.139555,79.078453,80,2.175,5261.0,HIGH
