accident_id,latitude,longitude,date,time,weather,road_type,lighting,traffic_density,vehicle_type,speed_kmh,speed_limit_kmh,severity
ACC00001,28.0,76.9668998349063,2025-07-14,18:52:44,clear,highway,dusk_dawn,moderate,motorcycle,131.9,80,severe
ACC00002,28.0,77.00293312913654,2022-10-12,11:04:22,cloudy,expressway,night_lit,heavy,motorcycle,87.9,97,minor
ACC00003,28.0,77.02159505814684,2022-09-04,16:06:29,clear,expressway,night_unlit,low,motorcycle,106.8,94,fatal
ACC00004,28.0,77.07041297585978,2024-06-07,18:34:00,clear,highway,dusk_dawn,heavy,car,77.6,81,moderate
ACC00005,28.0,77.27996613400852,2024-11-06,22:33:00,clear,urban,night_unlit,heavy,car,28.9,45,severe
ACC00006,28.0,77.08417814169599,2022-07-09,12:45:00,fog,rural,dusk_dawn,moderate,car,118.7,45,moderate
ACC00007,28.0,77.1632756168941,2025-11-27,16:54:10,cloudy,urban,daylight,moderate,bus,57.7,47,minor
ACC00008,28.0,77.4148842446679,2023-05-14,12:11:20,cloudy,expressway,night_unlit,low,motorcycle,95.9,90,moderate
ACC00009,28.0,77.16656040434079,2024-12-20,18:20:03,rain,highway,dusk_dawn,moderate,motorcycle,70.6,85,moderate
ACC00010,28.0,77.33062733527007,2025-05-19,20:51:09,cloudy,rural,night_unlit,low,truck,114.9,80,fatal
ACC00011,28.0,77.07995734799852,2022-03-01,21:03:50,cloudy,urban,night_lit,low,car,71.7,59,severe
ACC00012,28.0,77.18918436631985,2025-11-21,08:49:51,cloudy,highway,dusk_dawn,low,car,99.9,78,moderate
ACC00013,28.0,77.07749669176341,2026-05-13,08:56:17,clear,rural,night_unlit,moderate,motorcycle,59.8,78,moderate
ACC00014,28.0,77.16914503861491,2026-04-24,18:05:56,cloudy,highway,dusk_dawn,low,bus,96.8,64,severe
ACC00015,28.0,77.3460462206186,2022-08-18,16:08:07,clear,highway,daylight,moderate,bus,62.1,60,severe
ACC00016,28.0,76.96090193652114,2023-10-07,20:41:01,heavy_rain,highway,night_lit,moderate,car,67.3,69,moderate
ACC00017,28.0,77.28516354653188,2023-01-17,10:28:21,cloudy,highway,dusk_dawn,low,car,105.1,89,minor
ACC00018,28.0,77.25566034034983,2024-01-11,19:59:15,clear,highway,dusk_dawn,moderate,motorcycle,117.3,89,fatal
ACC00019,28.0,77.13087750664548,2026-05-20,17:32:04,cloudy,urban,night_lit,low,car,24.7,59,severe
ACC00020,28.0,77.00309132184174,2025-06-07,08:39:50,clear,highway,night_lit,low,auto,112.9,84,moderate
ACC00021,28.0,77.23081942615708,2025-06-20,07:14:58,cloudy,highway,dusk_dawn,low,car,117.6,90,severe
ACC00022,28.0,77.14057609364043,2023-11-24,17:19:16,heavy_rain,highway,daylight,low,car,98.3,92,severe
ACC00023,28.0,77.2549014317032,2026-03-18,08:10:18,rain,rural,daylight,moderate,car,115.7,75,moderate
ACC00024,28.0,77.22327782182852,2026-02-19,18:08:43,rain,highway,dusk_dawn,low,bus,87.2,85,severe
ACC00025,28.0,77.46026683369814,2025-08-17,15:06:55,cloudy,rural,daylight,moderate,motorcycle,33.5,62,minor
ACC00026,28.0,77.18409665587905,2025-08-30,13:53:17,cloudy,highway,daylight,heavy,car,115.0,79,moderate
ACC00027,28.0,77.06647537610672,2024-12-06,09:04:40,clear,highway,night_lit,moderate,motorcycle,81.7,68,severe
ACC00028,28.0,77.24689134524344,2022-06-06,23:30:01,cloudy,urban,night_lit,moderate,car,73.7,48,severe
ACC00029,28.0,77.25299950259577,2023-04-13,17:30:33,cloudy,urban,daylight,heavy,car,44.2,50,moderate
ACC00030,28.0,77.42387813628606,2025-06-16,18:03:59,clear,urban,dusk_dawn,heavy,auto,21.7,46,minor
ACC00031,28.0,77.34526668688719,2023-06-21,18:50:28,clear,rural,dusk_dawn,moderate,truck,104.6,72,severe
ACC00032,28.0,77.27353065887243,2022-10-11,16:30:38,clear,highway,daylight,moderate,motorcycle,110.3,64,minor
ACC00033,28.0,77.43949543368294,2026-04-05,21:07:41,clear,highway,night_lit,low,motorcycle,67.3,64,moderate
ACC00034,28.0,77.04168554185158,2024-03-12,16:07:37,clear,rural,daylight,moderate,motorcycle,107.4,80,moderate
ACC00035,28.0,77.12403727008754,2025-11-14,14:42:41,cloudy,highway,night_unlit,moderate,truck,103.0,64,fatal
ACC00036,28.0,77.08101360878916,2023-04-12,09:37:53,cloudy,rural,night_lit,heavy,car,52.6,59,minor
ACC00037,28.0,77.16152852952663,2023-08-14,09:24:00,cloudy,urban,night_lit,heavy,truck,25.0,41,severe
ACC00038,28.0,77.01349707786655,2023-07-18,18:24:53,clear,highway,dusk_dawn,low,motorcycle,117.5,90,moderate
ACC00039,28.0,77.31527264202217,2023-09-05,10:02:54,cloudy,highway,night_lit,heavy,car,85.3,87,moderate
ACC00040,28.0,77.18666659543518,2023-12-20,17:01:54,rain,urban,night_lit,heavy,car,20.0,34,moderate
ACC00041,28.0,76.9993790558246,2023-05-04,21:32:22,clear,urban,night_unlit,moderate,bus,55.5,50,moderate
ACC00042,28.0,77.06766313781887,2025-08-29,13:21:34,clear,expressway,night_lit,heavy,auto,133.5,80,moderate
ACC00043,28.0,77.26702707711753,2023-06-20,06:15:21,cloudy,highway,dusk_dawn,moderate,car,65.8,86,minor
ACC00044,28.0,77.34571898518415,2023-12-26,17:22:50,clear,expressway,daylight,moderate,car,81.3,83,fatal
ACC00045,28.0,77.51950963375377,2025-11-14,01:36:24,clear,highway,night_unlit,heavy,truck,114.1,80,severe
ACC00046,28.0,77.6570793699011,2023-12-19,18:17:18,cloudy,highway,dusk_dawn,low,truck,126.1,82,fatal
ACC00047,28.0,77.28216141499139,2022-01-18,15:20:41,clear,urban,daylight,heavy,motorcycle,36.2,56,minor
ACC00048,28.0,77.07156928199522,2022-01-01,14:16:02,rain,expressway,night_unlit,heavy,bus,69.1,82,moderate
ACC00049,28.0,76.9001930578903,2023-12-17,15:39:22,rain,urban,daylight,heavy,bus,48.1,51,moderate
ACC00050,28.0,77.26015671935157,2024-11-30,14:03:12,cloudy,rural,night_unlit,low,car,92.1,80,fatal
